dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
chen2023,135,5,to,2.7460,3.6156,-0.8696,9,1
chen2023,135,6,the,0.4566,2.9243,-2.4677,9,1
chen2023,135,7,mop,2.7735,12.9194,-10.1459,9,1
chen2023,135,8,.,1.8096,2.3026,-0.4930,9,1
chen2023,135,9,<eos>,4.1613,2.3026,1.8587,9,1
chen2023,136,0,The,1.7132,2.9243,-1.2111,9,1
chen2023,136,1,car,3.2506,8.1736,-4.9230,9,1
chen2023,136,2,dealer,1.5483,11.0747,-9.5264,9,1
chen2023,136,3,leased,10.1847,12.3876,-2.2029,9,1
chen2023,136,4,the,0.7114,2.9243,-2.2129,9,1
chen2023,136,5,plumber,4.0317,12.9870,-8.9552,9,1
chen2023,136,6,the,1.8435,2.9243,-1.0808,9,1
chen2023,136,7,SUV,1.9654,12.4119,-10.4464,9,1
chen2023,136,8,.,1.8719,2.3026,-0.4307,9,1
chen2023,136,9,<eos>,4.6641,2.3026,2.3615,9,1
chen2023,137,0,The,1.7132,2.9243,-1.2111,9,1
chen2023,137,1,car,3.2506,8.1736,-4.9230,9,1
chen2023,137,2,dealer,1.5483,11.0747,-9.5264,9,1
chen2023,137,3,leased,10.1847,12.3876,-2.2029,9,1
chen2023,137,4,the,0.7114,2.9243,-2.2129,9,1
chen2023,137,5,SUV,2.8615,12.4119,-9.5504,9,1
chen2023,137,6,the,3.9002,2.9243,0.9758,9,1
chen2023,137,7,plumber,4.5258,12.9870,-8.4612,9,1
chen2023,137,8,.,3.3469,2.3026,1.0443,9,1
chen2023,137,9,<eos>,4.4649,2.3026,2.1623,9,1
chen2023,138,0,The,1.7132,2.9243,-1.2111,10,1
chen2023,138,1,car,3.2506,8.1736,-4.9230,10,1
chen2023,138,2,dealer,1.5483,11.0747,-9.5264,10,1
chen2023,138,3,leased,10.1847,12.3876,-2.2029,10,1
chen2023,138,4,the,0.7114,2.9243,-2.2129,10,1
chen2023,138,5,SUV,2.8615,12.4119,-9.5504,10,1
chen2023,138,6,to,1.2184,3.6156,-2.3972,10,1
chen2023,138,7,the,0.9570,2.9243,-1.9673,10,1
chen2023,138,8,plumber,3.9700,12.9870,-9.0169,10,1
chen2023,138,9,.,1.8662,2.3026,-0.4364,10,1
chen2023,138,10,<eos>,4.4316,2.3026,2.1290,10,1
chen2023,139,0,The,1.7132,2.9243,-1.2111,10,1
chen2023,139,1,car,3.2506,8.1736,-4.9230,10,1
chen2023,139,2,dealer,1.5483,11.0747,-9.5264,10,1
chen2023,139,3,leased,10.1847,12.3876,-2.2029,10,1
chen2023,139,4,the,0.7114,2.9243,-2.2129,10,1
chen2023,139,5,plumber,4.0317,12.9870,-8.9552,10,1
chen2023,139,6,to,1.7647,3.6156,-1.8509,10,1
chen2023,139,7,the,1.0162,2.9243,-1.9081,10,1
chen2023,139,8,SUV,6.6811,12.4119,-5.7307,10,1
chen2023,139,9,.,1.7937,2.3026,-0.5089,10,1
chen2023,139,10,<eos>,4.4022,2.3026,2.0996,10,1
chen2023,140,0,The,2.0731,2.9243,-0.8513,8,1
chen2023,140,1,host,3.2691,9.7397,-6.4705,8,1
chen2023,140,2,tossed,9.3916,12.0892,-2.6976,8,1
chen2023,140,3,the,1.9589,2.9243,-0.9654,8,1
chen2023,140,4,contestant,2.9739,12.7103,-9.7363,8,1
chen2023,140,5,the,3.9499,2.9243,1.0256,8,1
chen2023,140,6,microphone,6.8126,12.1573,-5.3447,8,1
chen2023,140,7,.,1.9550,2.3026,-0.3476,8,1
chen2023,140,8,<eos>,4.7941,2.3026,2.4915,8,1
chen2023,141,0,The,2.0731,2.9243,-0.8513,8,1
chen2023,141,1,host,3.2691,9.7397,-6.4705,8,1
chen2023,141,2,tossed,9.3916,12.0892,-2.6976,8,1
chen2023,141,3,the,1.9589,2.9243,-0.9654,8,1
chen2023,141,4,microphone,3.6869,12.1573,-8.4704,8,1
chen2023,141,5,the,6.7058,2.9243,3.7814,8,1
chen2023,141,6,contestant,4.1260,12.7103,-8.5843,8,1
chen2023,141,7,.,5.2121,2.3026,2.9096,8,1
chen2023,141,8,<eos>,4.6810,2.3026,2.3784,8,1
chen2023,142,0,The,2.0731,2.9243,-0.8513,9,1
chen2023,142,1,host,3.2691,9.7397,-6.4705,9,1
chen2023,142,2,tossed,9.3916,12.0892,-2.6976,9,1
chen2023,142,3,the,1.9589,2.9243,-0.9654,9,1
chen2023,142,4,microphone,3.6877,12.1573,-8.4696,9,1
chen2023,142,5,to,2.0706,3.6156,-1.5450,9,1
chen2023,142,6,the,0.8714,2.9243,-2.0530,9,1
chen2023,142,7,contestant,6.1151,12.7103,-6.5952,9,1
chen2023,142,8,.,1.2514,2.3026,-1.0512,9,1
chen2023,142,9,<eos>,4.6475,2.3026,2.3449,9,1
chen2023,143,0,The,2.0731,2.9243,-0.8513,9,1
chen2023,143,1,host,3.2691,9.7397,-6.4705,9,1
chen2023,143,2,tossed,9.3916,12.0892,-2.6976,9,1
chen2023,143,3,the,1.9589,2.9243,-0.9654,9,1
chen2023,143,4,contestant,2.9740,12.7103,-9.7363,9,1
chen2023,143,5,to,2.3512,3.6156,-1.2644,9,1
chen2023,143,6,the,1.0555,2.9243,-1.8688,9,1
chen2023,143,7,microphone,4.1924,12.1573,-7.9648,9,1
chen2023,143,8,.,1.4139,2.3026,-0.8886,9,1
chen2023,143,9,<eos>,4.6377,2.3026,2.3352,9,1
chen2023,144,0,The,1.7899,2.9243,-1.1344,8,1
chen2023,144,1,quarterback,2.1960,11.6283,-9.4323,8,1
chen2023,144,2,passed,5.6448,9.3943,-3.7495,8,1
chen2023,144,3,the,1.5376,2.9243,-1.3867,8,1
chen2023,144,4,receiver,2.6934,11.3059,-8.6126,8,1
chen2023,144,5,the,5.9910,2.9243,3.0667,8,1
chen2023,144,6,ball,2.9328,9.1150,-6.1823,8,1
chen2023,144,7,.,2.7689,2.3026,0.4663,8,1
chen2023,144,8,<eos>,5.4059,2.3026,3.1033,8,1
chen2023,145,0,The,1.7899,2.9243,-1.1344,8,1
chen2023,145,1,quarterback,2.1960,11.6283,-9.4323,8,1
chen2023,145,2,passed,5.6448,9.3943,-3.7495,8,1
chen2023,145,3,the,1.5376,2.9243,-1.3867,8,1
chen2023,145,4,ball,1.1135,9.1150,-8.0015,8,1
chen2023,145,5,the,6.0224,2.9243,3.0981,8,1
chen2023,145,6,receiver,3.8818,11.3059,-7.4241,8,1
chen2023,145,7,.,3.9808,2.3026,1.6782,8,1
chen2023,145,8,<eos>,5.4553,2.3026,3.1527,8,1
chen2023,146,0,The,1.7899,2.9243,-1.1344,9,1
chen2023,146,1,quarterback,2.1960,11.6283,-9.4323,9,1
chen2023,146,2,passed,5.6448,9.3943,-3.7495,9,1
chen2023,146,3,the,1.5376,2.9243,-1.3867,9,1
chen2023,146,4,ball,1.1135,9.1150,-8.0015,9,1
chen2023,146,5,to,2.0236,3.6156,-1.5920,9,1
chen2023,146,6,the,0.5104,2.9243,-2.4140,9,1
chen2023,146,7,receiver,2.0743,11.3059,-9.2316,9,1
chen2023,146,8,.,1.3262,2.3026,-0.9764,9,1
chen2023,146,9,<eos>,5.5259,2.3026,3.2233,9,1
chen2023,147,0,The,1.7899,2.9243,-1.1344,9,1
chen2023,147,1,quarterback,2.1960,11.6283,-9.4323,9,1
chen2023,147,2,passed,5.6448,9.3943,-3.7495,9,1
chen2023,147,3,the,1.5376,2.9243,-1.3867,9,1
chen2023,147,4,receiver,2.6934,11.3059,-8.6126,9,1
chen2023,147,5,to,2.1827,3.6156,-1.4330,9,1
chen2023,147,6,the,0.9108,2.9243,-2.0135,9,1
chen2023,147,7,ball,4.5623,9.1150,-4.5527,9,1
chen2023,147,8,.,1.7292,2.3026,-0.5734,9,1
chen2023,147,9,<eos>,5.3495,2.3026,3.0469,9,1
chen2023,148,0,The,2.0895,2.9243,-0.8348,8,1
chen2023,148,1,videostore,8.1533,18.4207,-10.2673,8,1
chen2023,148,2,rented,9.9331,11.7887,-1.8556,8,1
chen2023,148,3,the,1.3405,2.9243,-1.5838,8,1
chen2023,148,4,customer,6.6671,10.1093,-3.4422,8,1
chen2023,148,5,the,4.3186,2.9243,1.3942,8,1
chen2023,148,6,DVD,3.7492,10.9363,-7.1871,8,1
chen2023,148,7,.,2.4646,2.3026,0.1620,8,1
chen2023,148,8,<eos>,4.6289,2.3026,2.3263,8,1
