dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
gibson2013,9,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,9,1,uncle,12.8707,10.4762,2.3945,8,0
gibson2013,9,2,sold,9.7559,9.2797,0.4762,8,0
gibson2013,9,3,the,2.0118,2.9243,-0.9126,8,0
gibson2013,9,4,father,7.1723,8.6115,-1.4392,8,0
gibson2013,9,5,the,5.4443,2.9243,2.5200,8,0
gibson2013,9,6,truck,6.9230,10.0382,-3.1152,8,0
gibson2013,9,7,.,2.6867,2.3026,0.3841,8,0
gibson2013,9,8,<eos>,6.8756,2.3026,4.5730,8,0
gibson2013,10,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,10,1,uncle,12.8707,10.4762,2.3945,9,0
gibson2013,10,2,sold,9.7559,9.2797,0.4762,9,0
gibson2013,10,3,the,2.0118,2.9243,-0.9126,9,0
gibson2013,10,4,father,7.1723,8.6115,-1.4392,9,0
gibson2013,10,5,to,1.9074,3.6156,-1.7082,9,0
gibson2013,10,6,the,1.4553,2.9243,-1.4690,9,0
gibson2013,10,7,truck,8.2626,10.0382,-1.7756,9,0
gibson2013,10,8,.,3.2116,2.3026,0.9091,9,0
gibson2013,10,9,<eos>,6.8104,2.3026,4.5079,9,0
gibson2013,11,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,11,1,uncle,12.8707,10.4762,2.3945,9,0
gibson2013,11,2,sold,9.7559,9.2797,0.4762,9,0
gibson2013,11,3,the,2.0118,2.9243,-0.9126,9,0
gibson2013,11,4,truck,6.6428,10.0382,-3.3954,9,0
gibson2013,11,5,to,1.2891,3.6156,-2.3265,9,0
gibson2013,11,6,the,1.5905,2.9243,-1.3339,9,0
gibson2013,11,7,father,5.9912,8.6115,-2.6203,9,0
gibson2013,11,8,.,2.5328,2.3026,0.2303,9,0
gibson2013,11,9,<eos>,6.7566,2.3026,4.4540,9,0
gibson2013,12,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,12,1,contractor,10.3508,11.3306,-0.9798,8,0
gibson2013,12,2,lent,11.5745,12.0892,-0.5147,8,0
gibson2013,12,3,the,2.6153,2.9243,-0.3090,8,0
gibson2013,12,4,saw,11.7043,8.4264,3.2778,8,0
gibson2013,12,5,the,4.1775,2.9243,1.2532,8,0
gibson2013,12,6,homeowner,10.6377,13.3581,-2.7204,8,0
gibson2013,12,7,.,4.5649,2.3026,2.2623,8,0
gibson2013,12,8,<eos>,6.3889,2.3026,4.0863,8,0
gibson2013,13,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,13,1,contractor,10.3508,11.3306,-0.9798,8,0
gibson2013,13,2,lent,11.5745,12.0892,-0.5147,8,0
gibson2013,13,3,the,2.6153,2.9243,-0.3090,8,0
gibson2013,13,4,homeowner,9.0448,13.3581,-4.3132,8,0
gibson2013,13,5,the,2.8535,2.9243,-0.0709,8,0
gibson2013,13,6,saw,11.5689,8.4264,3.1425,8,0
gibson2013,13,7,.,4.6836,2.3026,2.3810,8,0
gibson2013,13,8,<eos>,5.6612,2.3026,3.3586,8,0
gibson2013,14,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,14,1,contractor,10.3508,11.3306,-0.9798,9,0
gibson2013,14,2,lent,11.5745,12.0892,-0.5147,9,0
gibson2013,14,3,the,2.6153,2.9243,-0.3090,9,0
gibson2013,14,4,homeowner,9.0448,13.3581,-4.3132,9,0
gibson2013,14,5,to,1.5232,3.6156,-2.0925,9,0
gibson2013,14,6,the,2.0403,2.9243,-0.8841,9,0
gibson2013,14,7,saw,11.7478,8.4264,3.3213,9,0
gibson2013,14,8,.,3.5938,2.3026,1.2912,9,0
gibson2013,14,9,<eos>,5.5823,2.3026,3.2797,9,0
gibson2013,15,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,15,1,contractor,10.3508,11.3306,-0.9798,9,0
gibson2013,15,2,lent,11.5745,12.0892,-0.5147,9,0
gibson2013,15,3,the,2.6153,2.9243,-0.3090,9,0
gibson2013,15,4,saw,11.7043,8.4264,3.2778,9,0
gibson2013,15,5,to,1.0667,3.6156,-2.5490,9,0
gibson2013,15,6,the,1.1703,2.9243,-1.7541,9,0
gibson2013,15,7,homeowner,10.8343,13.3581,-2.5238,9,0
gibson2013,15,8,.,3.1828,2.3026,0.8802,9,0
gibson2013,15,9,<eos>,5.9584,2.3026,3.6559,9,0
gibson2013,16,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,16,1,sailing,13.8698,11.5362,2.3336,9,0
gibson2013,16,2,club,5.1968,8.7529,-3.5561,9,0
gibson2013,16,3,leased,11.9588,12.3876,-0.4287,9,0
gibson2013,16,4,the,1.7708,2.9243,-1.1535,9,0
gibson2013,16,5,boat,4.1616,9.8778,-5.7162,9,0
gibson2013,16,6,the,4.8662,2.9243,1.9419,9,0
gibson2013,16,7,man,7.2911,7.3218,-0.0307,9,0
gibson2013,16,8,.,5.0379,2.3026,2.7354,9,0
gibson2013,16,9,<eos>,6.8044,2.3026,4.5018,9,0
gibson2013,17,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,17,1,sailing,13.8698,11.5362,2.3336,9,0
gibson2013,17,2,club,5.1968,8.7529,-3.5561,9,0
gibson2013,17,3,leased,11.9588,12.3876,-0.4287,9,0
gibson2013,17,4,the,1.7708,2.9243,-1.1535,9,0
gibson2013,17,5,man,8.0440,7.3218,0.7223,9,0
gibson2013,17,6,the,5.7960,2.9243,2.8717,9,0
gibson2013,17,7,boat,4.1315,9.8778,-5.7463,9,0
gibson2013,17,8,.,3.3318,2.3026,1.0292,9,0
gibson2013,17,9,<eos>,6.7619,2.3026,4.4593,9,0
gibson2013,18,0,The,3.9742,2.9243,1.0498,10,0
gibson2013,18,1,sailing,13.8698,11.5362,2.3336,10,0
gibson2013,18,2,club,5.1968,8.7529,-3.5561,10,0
gibson2013,18,3,leased,11.9588,12.3876,-0.4287,10,0
gibson2013,18,4,the,1.7708,2.9243,-1.1535,10,0
gibson2013,18,5,man,8.0440,7.3218,0.7223,10,0
gibson2013,18,6,to,3.3362,3.6156,-0.2794,10,0
gibson2013,18,7,the,1.4500,2.9243,-1.4743,10,0
gibson2013,18,8,boat,6.4574,9.8778,-3.4205,10,0
gibson2013,18,9,.,3.3572,2.3026,1.0546,10,0
gibson2013,18,10,<eos>,6.6599,2.3026,4.3573,10,0
gibson2013,19,0,The,3.9742,2.9243,1.0498,10,0
gibson2013,19,1,sailing,13.8698,11.5362,2.3336,10,0
gibson2013,19,2,club,5.1968,8.7529,-3.5561,10,0
gibson2013,19,3,leased,11.9588,12.3876,-0.4287,10,0
gibson2013,19,4,the,1.7708,2.9243,-1.1535,10,0
gibson2013,19,5,boat,4.1616,9.8778,-5.7162,10,0
gibson2013,19,6,to,1.4278,3.6156,-2.1879,10,0
gibson2013,19,7,the,1.0781,2.9243,-1.8463,10,0
gibson2013,19,8,man,6.9491,7.3218,-0.3727,10,0
gibson2013,19,9,.,3.9369,2.3026,1.6343,10,0
gibson2013,19,10,<eos>,6.5423,2.3026,4.2398,10,0
gibson2013,20,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,20,1,girl,9.3940,8.3349,1.0592,8,0
gibson2013,20,2,tossed,11.3060,12.0892,-0.7832,8,0
gibson2013,20,3,the,2.0867,2.9243,-0.8377,8,0
gibson2013,20,4,apple,8.1954,9.7637,-1.5683,8,0
gibson2013,20,5,the,5.6538,2.9243,2.7295,8,0
gibson2013,20,6,boy,6.8155,8.8183,-2.0028,8,0
gibson2013,20,7,.,3.6999,2.3026,1.3973,8,0
gibson2013,20,8,<eos>,6.1953,2.3026,3.8927,8,0
gibson2013,21,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,21,1,girl,9.3940,8.3349,1.0592,8,0
gibson2013,21,2,tossed,11.3060,12.0892,-0.7832,8,0
gibson2013,21,3,the,2.0867,2.9243,-0.8377,8,0
gibson2013,21,4,boy,5.7530,8.8183,-3.0653,8,0
gibson2013,21,5,the,5.4346,2.9243,2.5103,8,0
gibson2013,21,6,apple,8.8219,9.7637,-0.9418,8,0
gibson2013,21,7,.,2.3279,2.3026,0.0253,8,0
gibson2013,21,8,<eos>,6.3410,2.3026,4.0384,8,0
gibson2013,22,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,22,1,girl,9.3940,8.3349,1.0592,9,0
gibson2013,22,2,tossed,11.3060,12.0892,-0.7832,9,0
gibson2013,22,3,the,2.0867,2.9243,-0.8377,9,0
gibson2013,22,4,boy,5.7530,8.8183,-3.0653,9,0
gibson2013,22,5,to,2.7372,3.6156,-0.8784,9,0
gibson2013,22,6,the,0.4942,2.9243,-2.4302,9,0
gibson2013,22,7,apple,9.7417,9.7637,-0.0220,9,0
gibson2013,22,8,.,2.1358,2.3026,-0.1668,9,0
gibson2013,22,9,<eos>,6.3022,2.3026,3.9996,9,0
gibson2013,23,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,23,1,girl,9.3940,8.3349,1.0592,9,0
gibson2013,23,2,tossed,11.3060,12.0892,-0.7832,9,0
gibson2013,23,3,the,2.0867,2.9243,-0.8377,9,0
gibson2013,23,4,apple,8.1954,9.7637,-1.5683,9,0
gibson2013,23,5,to,2.8717,3.6156,-0.7439,9,0
gibson2013,23,6,the,0.7075,2.9243,-2.2169,9,0
gibson2013,23,7,boy,6.3602,8.8183,-2.4581,9,0
gibson2013,23,8,.,1.9421,2.3026,-0.3605,9,0
gibson2013,23,9,<eos>,6.3330,2.3026,4.0304,9,0
gibson2013,24,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,24,1,daughter,10.7208,9.0533,1.6675,8,0
gibson2013,24,2,passed,10.2755,9.3943,0.8812,8,0
gibson2013,24,3,the,2.4651,2.9243,-0.4592,8,0
gibson2013,24,4,bowl,12.2518,10.0613,2.1905,8,0
gibson2013,24,5,the,6.2063,2.9243,3.2819,8,0
gibson2013,24,6,mother,7.7654,8.6565,-0.8910,8,0
gibson2013,24,7,.,5.1175,2.3026,2.8149,8,0
gibson2013,24,8,<eos>,6.4831,2.3026,4.1805,8,0
gibson2013,25,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,25,1,daughter,10.7208,9.0533,1.6675,8,0
gibson2013,25,2,passed,10.2755,9.3943,0.8812,8,0
gibson2013,25,3,the,2.4651,2.9243,-0.4592,8,0
gibson2013,25,4,mother,7.3436,8.6565,-1.3128,8,0
gibson2013,25,5,the,6.0732,2.9243,3.1488,8,0
gibson2013,25,6,bowl,11.1644,10.0613,1.1031,8,0
gibson2013,25,7,.,3.1125,2.3026,0.8100,8,0
gibson2013,25,8,<eos>,6.1621,2.3026,3.8595,8,0
gibson2013,26,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,26,1,daughter,10.7208,9.0533,1.6675,9,0
gibson2013,26,2,passed,10.2755,9.3943,0.8812,9,0
gibson2013,26,3,the,2.4651,2.9243,-0.4592,9,0
gibson2013,26,4,mother,7.3436,8.6565,-1.3128,9,0
gibson2013,26,5,to,3.3769,3.6156,-0.2388,9,0
gibson2013,26,6,the,1.3351,2.9243,-1.5892,9,0
gibson2013,26,7,bowl,12.4151,10.0613,2.3538,9,0
gibson2013,26,8,.,2.7000,2.3026,0.3974,9,0
gibson2013,26,9,<eos>,6.1414,2.3026,3.8388,9,0
gibson2013,27,0,The,3.9742,2.9243,1.0498,9,0
